Router1,Router2,Cost,Capacity
CHANDRAPUR-PE-01,NAGPUR-PP-03,0.472,10
CHANDRAPUR-PE-01,NAGPUR-PP-04,0.524,10
CHANDRAPUR-PE-02,NAGPUR-PP-03,0.041,10
CHANDRAPUR-PE-02,NAGPUR-PP-04,0,10
CHAPRA-PE-01,GORAKHPUR-PP-01,0.245,10
CHAPRA-PE-01,PATNA-PP-02,0.317,20
CHENNAI-GSMPE-01,CHENNAI-PP-06,0.358333333,30
CHENNAI-GSMPE-01,CHENNAI-PP-07,0.6548,50
CHENNAI-GSMPE-02,CHENNAI-PP-06,0.261333333,30
CHENNAI-GSMPE-02,CHENNAI-PP-07,0.6714,50
CHENNAI-GSMPE-03,CHENNAI-PP-06,0.3427,100
CHENNAI-GSMPE-03,CHENNAI-PP-07,0.3984,100
CHENNAI-GSMPE-04,CHENNAI-PP-06,0,100
CHENNAI-GSMPE-04,CHENNAI-PP-07,0,50
CHENNAI-IGW-04,CHENNAI-IGWPE-04,0.590685714,700
CHENNAI-IGW-05,CHENNAI-IGWPE-05,0.8038875,800
CHENNAI-IGWPE-04,CHENNAI-PP-04,0.5809125,800
CHENNAI-IGWPE-05,CHENNAI-PP-05,0.695293478,920
CHENNAI-IRR-02,CHENNAI-PP-04,0,10
CHENNAI-IRR-02,CHENNAI-PP-05,0,10
CHENNAI-IXP-01,CHENNAI-PP-06,0,20
CHENNAI-MCR-01,CHENNAI-PP-06,0.052,10
CHENNAI-MCR-01,CHENNAI-PP-07,0.0605,20
CHENNAI-MCR-02,CHENNAI-PP-06,0.0015,20
CHENNAI-MCR-02,CHENNAI-PP-07,0.001,20
CHENNAI-PE-02,CHENNAI-PP-07,0,10
CHENNAI-PE-06,CHENNAI-PP-06,0.2705,20
CHENNAI-PE-06,CHENNAI-PP-07,0.517,10
CHENNAI-PE-07,CHENNAI-PP-06,0.323,20
CHENNAI-PE-07,CHENNAI-PP-07,0,10
CHENNAI-PE-08,CHENNAI-PP-06,0,10
