S.NO    City_Id     City_Name             Degree    Adjacent_Vertices                                           
299     299         HUBLI-PE-02           2         83 301                                                      
300     300         HUBLI-PE-03           2         83 301                                                      
301     301         HUBLI-PP-01           19        80 81 90 91 92 123 266 267 299 300 317 379 425 449 540 577 578 626 674
302     302         HYDERABAD-CDRPE-01    2         317 618                                                     
303     303         HYDERABAD-CDRPE-02    2         317 618                                                     
304     304         HYDERABAD-GSMPE-01    2         317 618                                                     
305     305         HYDERABAD-GSMPE-02    2         317 618                                                     
306     306         HYDERABAD-GSMPE-03    2         317 618                                                     
307     307         HYDERABAD-MCR-01      2         317 618                                                     
308     308         HYDERABAD-MCR-02      2         317 618                                                     
309     309         HYDERABAD-PE-02       2         317 618                                                     
310     310         HYDERABAD-PE-05       2         317 618                                                     
311     311         HYDERABAD-PE-06       2         317 618                                                     
312     312         HYDERABAD-PE-08       2         317 618                                                     
313     313         HYDERABAD-PE-09       2         317 618                                                     
314     314         HYDERABAD-PE-10       2         317 618                                                     
315     315         HYDERABAD-PE-11       2         317 618                                                     
316     316         HYDERABAD-PE-12       2         317 618                                                     
317     317         HYDERABAD-PP-02       49        1 80 81 91 92 123 182 230 266 269 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 376 381 423 424 425 445 480 481 501 527 541 582 583 584 608 617 618 639 694 696 697 704 705
318     318         IMPHAL-PE-01          2         220 281                                                     
319     319         IMPHAL-PE-02          2         220 281                                                     
320     320         INDORE-PE-02          2         112 322                                                     
321     321         INDORE-PE-03          2         112 322                                                     
322     322         INDORE-PP-02          29        20 105 106 107 108 109 110 111 112 216 262 268 283 320 321 325 328 339 347 417 480 481 601 645 678 680 681 682 684
323     323         ITANAGAR-PE-01        1         281                                                         
324     324         ITANAGAR-PE-02        3         220 281 412                                                 
325     325         JABALPUR-PE-02        2         322 328                                                     
326     326         JABALPUR-PE-03        1         328                                                         
327     327         JABALPUR-PE-04        3         112 328 502                                                 
328     328         JABALPUR-PP-02        19        112 126 127 285 322 325 326 327 437 481 502 582 593 600 601 607 615 616 689
329     329         JAGDALPUR-PE-01       2         582 704                                                     
330     330         JAIPUR-GSMPE-01       2         339 363                                                     
331     331         JAIPUR-GSMPE-02       2         339 363                                                     
332     332         JAIPUR-GSMPE-03       2         339 363                                                     
333     333         JAIPUR-MCR-01         1         339                                                         
334     334         JAIPUR-PE-02          1         339                                                         
335     335         JAIPUR-PE-03          1         339                                                         
336     336         JAIPUR-PE-04          1         339                                                         
337     337         JAIPUR-PE-05          2         339 363                                                     
338     338         JAIPUR-PE-06          2         339 363                                                     
339     339         JAIPUR-PP-02          39        7 20 24 25 32 33 102 104 124 125 322 330 331 332 333 334 335 336 337 338 340 359 360 361 363 417 418 437 438 480 481 524 532 595 596 640 676 677 678
340     340         JAIPUR-VRR-01         1         339                                                         
341     341         JALANDHAR-PE-01       1         346                                                         
342     342         JALANDHAR-PE-02       1         346                                                         
343     343         JALANDHAR-PE-03       1         346                                                         
344     344         JALANDHAR-PE-04       2         153 346                                                     
345     345         JALANDHAR-PE-05       2         153 346                                                     
346     346         JALANDHAR-PP-02       31        42 43 44 102 124 152 153 208 209 252 253 289 290 298 341 342 343 344 345 349 351 352 439 440 523 524 542 599 625 641 642
347     347         JALGAON-PE-01         3         216 322 502                                                 
348     348         JALPAIGURI-PE-01      1         633                                                         
349     349         JAMMU-GSMPE-01        1         346                                                         
350     350         JAMMU-PE-02           1         152                                                         
351     351         JAMMU-PE-03           2         153 346                                                     
352     352         JAMMU-PP-01           5         42 152 153 346 532                                          
353     353         JAMNAGAR-PE-01        1         588                                                         
354     354         JAMSHEDPUR-PE-02      3         229 412 593                                                 
355     355         JAMSHEDPUR-PE-03      3         229 412 593                                                 
356     356         JHANSI-PE-01          1         438                                                         
357     357         JHANSI-PE-02          2         359 437                                                     
358     358         JHANSI-PE-03          2         359 437                                                     
359     359         JHANSI-PP-01          15        7 30 112 268 283 285 339 357 358 372 373 437 524 532 689    
360     360         JHUNJHUNU-PE-01       2         339 525                                                     
361     361         JODHPUR-PE-02         3         7 339 363                                                   
362     362         JODHPUR-PE-03         2         363 678                                                     
363     363         JODHPUR-PP-02         19        20 24 25 124 125 274 330 331 332 337 338 339 361 362 480 490 524 640 678
364     364         JORHAT-PE-01          2         220 281                                                     
365     365         JORHAT-PE-02          2         220 281                                                     
366     366         JUNAGADH-PE-01        1         588                                                         
367     367         KALYAN-PE-02          2         482 483                                                     
368     368         KALYAN-PE-03          2         482 483                                                     
369     369         KANCHIPURAM-PE-01     2         184 185                                                     
370     370         KANNUR-PE-01          2         137 449                                                     
371     371         KANNUR-PE-02          2         137 449                                                     
372     372         KANPUR-PE-02          4         7 359 437 438                                               
373     373         KANPUR-PE-03          4         7 359 437 526                                               
374     374         KARAIKUDI-PE-01       2         444 668                                                     
375     375         KARAIKUDI-PE-02       2         444 668                                                     
376     376         KARIMNAGAR-PE-01      2         317 618                                                     
377     377         KARNAL-PE-01          2         42 526                                                      
378     378         KARNAL-PE-02          3         42 152 525                                                  
379     379         KARVAR-PE-02          3         83 301 449                                                  
380     380         KATIHAR-PE-01         3         98 553 633                                                  
381     381         KHAMMAM-PE-01         3         317 618 697                                                 
382     382         KHARAGPUR-PE-02       3         197 229 412                                                 
383     383         KHARAGPUR-PE-03       4         197 229 412 413                                             
384     384         KOLHAPUR-PE-02        3         540 575 639                                                 
385     385         KOLHAPUR-PE-03        3         540 574 639                                                 
386     386         KOLKATA-GSMPE-01      1         413                                                         
387     387         KOLKATA-GSMPE-02      1         412                                                         
388     388         KOLKATA-GSMPE-03      1         412                                                         
389     389         KOLKATA-GSMPE-04      1         413                                                         
390     390         KOLKATA-GSMPE-05      2         412 413                                                     
391     391         KOLKATA-GSMPE-06      2         412 413                                                     
392     392         KOLKATA-GSMPE-07      2         412 413                                                     
393     393         KOLKATA-IGW-03        1         395                                                         
394     394         KOLKATA-IGW-04        1         396                                                         
395     395         KOLKATA-IGWPE-03      2         393 410                                                     
396     396         KOLKATA-IGWPE-04      2         394 411                                                     
397     397         KOLKATA-MCR-01        2         412 413                                                     
398     398         KOLKATA-MCR-02        2         411 412                                                     
399     399         KOLKATA-PE-04         1         412                                                         
400     400         KOLKATA-PE-06         1         412                                                         
401     401         KOLKATA-PE-07         1         412                                                         
402     402         KOLKATA-PE-08         1         412                                                         
403     403         KOLKATA-PE-09         1         412                                                         
404     404         KOLKATA-PE-10         2         412 413                                                     
405     405         KOLKATA-PE-11         2         412 413                                                     
406     406         KOLKATA-PE-12         2         412 413                                                     
407     407         KOLKATA-PE-13         2         412 413                                                     
408     408         KOLKATA-PP-02         1         410                                                         
409     409         KOLKATA-PP-03         1         411                                                         
410     410         KOLKATA-PP-04         19        3 120 182 197 220 229 281 395 408 411 412 414 437 480 501 524 553 593 633
411     411         KOLKATA-PP-05         18        80 98 120 183 197 281 396 398 409 410 413 414 481 523 553 582 607 633
412     412         KOLKATA-PP-06         37        55 85 93 132 205 207 255 294 324 354 355 382 383 387 388 390 391 392 397 398 399 400 401 402 403 404 405 406 407 410 446 590 605 629 631 632 649
413     413         KOLKATA-PP-07         14        223 228 383 386 389 390 391 392 397 404 405 406 407 411     
414     414         KOLKATA-VRR-01        2         410 411                                                     
415     415         KOLLAM-PE-01          2         245 673                                                     
416     416         KOLLAM-PE-02          2         245 673                                                     
417     417         KOTA-PE-02            2         322 339                                                     
418     418         KOTA-PE-03            3         339 526 678                                                 
419     419         KOTTAYAM-PE-01        2         245 673                                                     
420     420         KOTTAYAM-PE-02        2         245 673                                                     
421     421         KUMBAKONAM-MCR-01     2         185 668                                                     
422     422         KUMBAKONAM-PE-01      2         184 668                                                     
423     423         KURNOOL-PE-01         3         317 425 697                                                 
424     424         KURNOOL-PE-02         2         317 425                                                     
425     425         KURNOOL-PP-01         17        48 81 92 182 183 193 266 267 301 317 423 424 445 577 578 618 697
426     426         LUCKNOW-GSMPE-01      2         437 438                                                     
427     427         LUCKNOW-GSMPE-02      2         437 438                                                     
428     428         LUCKNOW-MCR-01        2         437 438                                                     
429     429         LUCKNOW-PE-01         2         437 438                                                     
430     430         LUCKNOW-PE-02         2         437 438                                                     
431     431         LUCKNOW-PE-03         1         438                                                         
432     432         LUCKNOW-PE-04         2         437 438                                                     
433     433         LUCKNOW-PE-05         2         437 438                                                     
434     434         LUCKNOW-PE-06         2         437 438                                                     
435     435         LUCKNOW-PE-07         1         437                                                         
436     436         LUCKNOW-PE-08         2         437 438                                                     
437     437         LUCKNOW-PP-03         36        7 30 152 204 248 249 265 328 339 357 358 359 372 373 410 426 427 428 429 430 432 433 434 435 436 438 461 481 501 524 532 553 616 634 688 689
